Grade,Topic Category,Topic Name,Description,Movie Connection Examples
5,Western Hemisphere Civilizations,Mesoamerica (Maya Aztec and Inca),The curriculum covers the foundations characteristics and environmental adaptations of these complex societies,Films or documentaries about ancient civilizations and archaeology
5,Western Hemisphere Civilizations,Native American Cultural Regions,The study of various Native American groups and their interactions with their environment and later with European settlers,Movies depicting diverse indigenous cultures before and during early colonization
5,European Exploration and Colonial Life,European Exploration,Motivations encounters and the effects of exploration on the Americas,Films about historical explorers like Columbus or early colonial settlements
5,European Exploration and Colonial Life,Colonial America,Life in the colonies the development of social structures and the lead-up to the American Revolution,Stories focusing on the 13 Colonies daily life or specific historical events like the Boston Tea Party
5,Founding of the United States,American Revolution and Independence,The causes of the war key figures the Declaration of Independence and the creation of the Constitution,The animated series Liberty's Kids covers this period in an age-appropriate way
5,Founding of the United States,U.S. Government and Civics,The three branches of government the Bill of Rights and the rights and responsibilities of citizens,Movies that explain the Constitution or the functions of government (e.g. Schoolhouse Rock! shorts)
5,Expansion and Conflict,Westward Expansion,The movement of people across the continent and the related social changes and conflicts,Movies about pioneers the Oregon Trail or the California Gold Rush
5,Expansion and Conflict,Civil War and Reconstruction,The causes of the war (including the antebellum period and the abolitionist movement) major events and the post-war Reconstruction era,Films depicting the lives of enslaved people (e.g. the Underground Railroad featured on PBS LearningMedia) the conflict or key figures like Abraham Lincoln
5,Modern Era Case Studies,Contemporary Issues (NYC Specific),Case studies of different modern countries in the Western Hemisphere to compare government and economic systems and explore current events,Documentaries or films about modern life culture or issues in countries like Canada Mexico Brazil etc. (ensuring age-appropriateness)
7,Indigenous Societies,Pre-Colonial Native Americans,History of Indigenous societies prior to European colonization with focus on people events and places in New York State,Films about Native American cultures and societies in the Northeast and across North America
7,European Contact and Colonization,Colonial Settlement,European colonization of North America including Dutch English and French settlements,Movies about colonial life early settlers and the founding of colonies in New York and surrounding regions
7,Medieval and Renaissance Europe,Medieval Europe,Study of European feudalism kingdoms and medieval society,Films about medieval life castles knights and the feudal system
7,Medieval and Renaissance Europe,The Renaissance in Europe,European Renaissance as a time of social scientific artistic and religious rebirth from 1463 to 1650,Movies about Renaissance artists inventors and the transformation of European society
